Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
Jun 11 2020,23264.0,23264.0,22794.3477,23264.0,23264.0,-
Jun 10 2020,23264.0,23264.0,22737.4336,23264.0,23264.0,-
Jun 9 2020,23264.0,23264.0,22835.457,23264.0,23264.0,-
Jun 8 2020,23264.0,23264.0,22898.9629,23264.0,23264.0,-
Jun 5 2020,23264.0,23264.0,22647.4863,23264.0,23264.0,-
Jun 4 2020,22860.1465,23264.0,22860.1465,23264.0,23264.0,-
Jun 3 2020,22845.0449,23264.0,22845.0449,23264.0,23264.0,-
Jun 2 2020,23264.0,23264.0,22849.9043,23264.0,23264.0,-
Jun 1 2020,23280.0,23280.0,22896.3867,23280.0,23280.0,-
May 29 2020,23309.0,23309.0,22802.0195,23309.0,23309.0,-
May 28 2020,22946.1641,23312.0,22946.1641,23312.0,23312.0,-
May 27 2020,23312.0,23312.0,22936.8633,23312.0,23312.0,-
May 26 2020,23334.0,23334.0,22924.6016,23334.0,23334.0,-
May 25 2020,23334.0,23334.0,22950.5781,23334.0,23334.0,-
May 22 2020,23334.0,23334.0,22893.4219,23334.0,23334.0,-
May 21 2020,22876.627,23334.0,22876.627,23334.0,23334.0,-
May 20 2020,23334.0,23334.0,22900.8477,23334.0,23334.0,-
May 19 2020,23334.0,23334.0,22743.7363,23334.0,23334.0,-
May 18 2020,23334.0,23334.0,22969.9863,23334.0,23334.0,-
May 15 2020,23334.0,23334.0,22973.4531,23334.0,23334.0,-
May 14 2020,23334.0,23334.0,23020.5352,23334.0,23334.0,-
May 13 2020,23334.0,23334.0,22921.916,23334.0,23334.0,-
May 12 2020,23010.2832,23399.0,23010.2832,23399.0,23399.0,-
May 11 2020,23399.0,23399.0,22958.1699,23399.0,23399.0,-
May 8 2020,23444.0,23444.0,22936.7051,23444.0,23444.0,-
May 7 2020,23073.0742,23444.0,23059.457,23444.0,23444.0,-
May 6 2020,23444.0,23444.0,23051.5059,23444.0,23444.0,-
May 5 2020,23444.0,23444.0,23046.0566,23444.0,23444.0,-
